"Date as of","District","ConfCases","CumCases","ConfDeaths","CumDeaths","ConfHCWcases","CumHCWCases","ConfHCWDeaths","CumHCWDeaths"
"29/09/22","Mubende",3,29,0,6,1,8,0,1
"29/09/22","Kyegegwa",0,3,0,0,0,0,0,0
"29/09/22","Kassanda",0,2,0,0,0,0,0,0
"29/09/22","Kagadi",1,1,1,1,0,0,0,0
"06/10/22","Mubende",0,36,0,9,0,8,0,3
"06/10/22","Kyegegwa",0,3,0,0,0,0,0,0
"06/10/22","Kassanda",0,3,0,0,0,0,0,0
"06/10/22","Kagadi",0,1,0,1,0,1,0,1
"06/10/22","Bunyangabu",0,1,0,0,0,1,0,0
"07/10/22","Mubende",0,36,0,9,0,8,0,3
"07/10/22","Kyegegwa",0,3,0,0,0,0,0,0
"07/10/22","Kassanda",0,3,0,0,0,0,0,0
"07/10/22","Kagadi",0,1,0,1,0,1,0,1
"07/10/22","Bunyangabu",0,1,0,0,0,1,0,0
"08/10/22","Mubende",0,36,0,9,0,8,0,3
"08/10/22","Kyegegwa",0,3,0,0,0,0,0,0
"08/10/22","Kassanda",0,3,0,0,0,0,0,0
"08/10/22","Kagadi",0,1,0,1,0,1,0,1
"08/10/22","Bunyangabu",0,1,0,0,0,1,0,0
"09/10/22","Mubende",4,40,6,15,0,8,0,3
"09/10/22","Kyegegwa",0,3,1,1,0,0,0,0
"09/10/22","Kassanda",0,3,0,0,0,0,0,0
"09/10/22","Kagadi",0,1,0,1,0,1,0,1
"09/10/22","Bunyangabu",0,1,0,0,0,1,0,0
"10/10/22","Mubende",6,46,2,17,0,8,0,3
"10/10/22","Kyegegwa",0,3,0,1,0,0,0,0
"10/10/22","Kassanda",0,3,0,0,0,0,0,0
"10/10/22","Kagadi",0,1,0,1,0,1,0,1
"10/10/22","Bunyangabu",0,1,0,0,0,1,0,0
"11/10/22","Mubende",0,46,0,17,0,8,0,3
"11/10/22","Kyegegwa",0,3,0,1,0,0,0,0
"11/10/22","Kassanda",0,3,0,0,0,0,0,0
"11/10/22","Kagadi",0,1,0,1,0,1,0,1
"11/10/22","Bunyangabu",0,1,0,0,0,1,0,0
