"Date as of","Type of case","ConfCases","CumCases"
"08/08/22","Confirmed",0,0
"08/08/22","Probable",1,1
"09/08/22","Confirmed",0,0
"09/08/22","Probable",0,1
"10/08/22","Confirmed",0,0
"10/08/22","Probable",0,1
"11/08/22","Confirmed",0,0
"11/08/22","Probable",0,1
"12/08/22","Confirmed",0,0
"12/08/22","Probable",0,1
"13/08/22","Confirmed",0,0
"13/08/22","Probable",0,1
"14/08/22","Confirmed",0,0
"14/08/22","Probable",0,1
"15/08/22","Confirmed",0,0
"15/08/22","Probable",0,1
"16/08/22","Confirmed",0,0
"16/08/22","Probable",0,1
"17/08/22","Confirmed",0,0
"17/08/22","Probable",1,2
"18/08/22","Confirmed",0,0
"18/08/22","Probable",0,2
"19/08/22","Confirmed",0,0
"19/08/22","Probable",0,2
"20/08/22","Confirmed",0,0
"20/08/22","Probable",2,4
"21/08/22","Confirmed",0,0
"21/08/22","Probable",0,4
"22/08/22","Confirmed",0,0
"22/08/22","Probable",0,4
"23/08/22","Confirmed",0,0
"23/08/22","Probable",0,4
"24/08/22","Confirmed",0,0
"24/08/22","Probable",0,4
"25/08/22","Confirmed",0,0
"25/08/22","Probable",0,4
"26/08/22","Confirmed",0,0
"26/08/22","Probable",0,4
"27/08/22","Confirmed",0,0
"27/08/22","Probable",1,5
"28/08/22","Confirmed",0,0
"28/08/22","Probable",0,5
"29/08/22","Confirmed",0,0
"29/08/22","Probable",0,5
"30/08/22","Confirmed",0,0
"30/08/22","Probable",0,5
"31/08/22","Confirmed",0,0
"31/08/22","Probable",0,5
"01/09/22","Confirmed",0,0
"01/09/22","Probable",1,6
"02/09/22","Confirmed",0,0
"02/09/22","Probable",0,6
"03/09/22","Confirmed",0,0
"03/09/22","Probable",1,7
"04/09/22","Confirmed",0,0
"04/09/22","Probable",1,8
"05/09/22","Confirmed",2,2
"05/09/22","Probable",1,9
"06/09/22","Confirmed",0,2
"06/09/22","Probable",1,10
"07/09/22","Confirmed",0,2
"07/09/22","Probable",2,12
"08/09/22","Confirmed",1,3
"08/09/22","Probable",1,13
"09/09/22","Confirmed",0,3
"09/09/22","Probable",1,14
"10/09/22","Confirmed",0,3
"10/09/22","Probable",1,15
"11/09/22","Confirmed",1,4
"11/09/22","Probable",0,15
"12/09/22","Confirmed",1,5
